,MAE,RMSE,MAPE
 U. K.,0.012790549498246366,0.01607525417973132,0.1011509050664366
 U. S. A.,0.04597672995104469,0.06482303784757429,0.11772274186758791
 Germany,0.013486877824842838,0.018019190999210666,0.1381772817058459
 Italy,0.009688622016081134,0.012499778809394754,0.1539202957065813
 Spain,0.010248256520212077,0.013853052248033307,0.16544421594368078
 Netherlands (Holland),0.0098954203235379,0.012783211581070255,0.1751697619020801
 Bangladesh,0.011392906040155793,0.015764160637603088,0.2147853158577563
 U. A. E. Dubai,0.0235557477522437,0.02926038548629746,0.23001923235583555
 China,0.03942132605174436,0.05205197459486718,0.24101248355189
 Afghanistan,0.031242873157523936,0.03921323657699744,0.4451287790102246
